label,softwar,system,model,test,fault,use,qualiti,perform,data,develop,measur,process,detect,metric,applic,design,method,predict,paper,propos,network,techniqu,approach,base,algorithm,result,reliabl,estim,time,present,analysi,servic,evalu,defect,failur,control,improv,requir,code,studi,error,provid,effect,program,comput,gener,assess,differ,project,tool
no,1,0,0,3,2,4,0,2,1,0,1,1,0,0,0,1,1,1,1,1,0,3,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,5,6,1,0,0,0,1
no,0,2,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
no,0,3,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,0,3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
no,0,0,5,0,0,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
no,3,2,0,0,1,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
no,0,0,0,0,0,1,0,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
no,1,8,0,0,8,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,1,0,1,2,0,0,0,0,0
no,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,9,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,1,7,2,0,4,0,0,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
no,1,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,0,5,0,0,0,1,1,0,2,0,0,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
no,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
no,6,10,1,1,6,2,0,1,0,1,1,2,1,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,0
no,1,2,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
no,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no,2,3,0,0,6,3,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
no,2,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,2,0
no,2,4,1,0,5,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,1,0,0,0,0,0,2,3,1,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,3,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
no,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
no,3,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
no,2,0,0,0,2,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
no,1,3,0,6,6,2,0,6,1,4,0,0,1,0,0,0,0,0,1,0,1,2,0,0,4,0,0,2,0,0,0,0,4,0,0,5,0,0,0,0,0,2,1,0,0,2,3,0,0,0
no,1,6,0,0,0,1,0,1,1,1,0,0,4,0,0,0,3,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
no,5,0,0,0,0,0,2,0,0,1,8,1,0,0,2,1,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0
no,6,5,0,3,0,3,3,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,3,0,5,1,0,0,0,4,0
no,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0
no,6,1,0,4,0,1,1,1,1,5,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
no,0,1,1,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0
no,1,3,0,1,1,3,0,0,0,0,2,0,2,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
no,1,3,1,0,2,2,0,0,1,2,0,1,0,0,2,3,1,0,2,1,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,6,1,0,1,0,0
no,1,0,4,0,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,5,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0
no,0,2,0,0,0,1,0,0,2,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
no,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
no,1,7,0,0,1,3,0,2,0,2,0,1,1,0,2,1,0,0,1,0,0,1,0,1,0,1,4,0,0,2,0,2,0,0,1,8,0,4,0,0,0,0,0,0,5,0,0,0,0,0
no,0,0,0,0,0,2,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0
no,2,4,0,2,1,2,0,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,1,3,1,0,1,0,0,1,0,1,0,1,1,0,1,4,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0
no,0,6,3,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0
no,4,0,0,1,0,0,1,0,2,3,1,0,0,6,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,0
no,1,3,0,0,0,0,1,2,1,0,2,1,5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
no,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0
no,1,3,1,0,0,0,1,1,2,0,1,0,0,0,1,1,0,1,1,0,3,0,0,0,5,0,0,0,4,1,0,0,1,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0
no,0,8,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0,5,0,1,1,1,0,0,0,0,0,2,1,1,0,0,0
no,6,4,1,3,0,0,0,1,0,1,0,0,0,0,3,2,1,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,2,1,2,0,0,1,0,0,1
no,1,0,0,1,0,3,3,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
no,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
no,0,4,8,0,0,1,0,5,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
no,1,6,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,6,0,0,2,0,0,0,1,0,0
no,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0
no,1,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
